Scenario - MEG
Logfile written - 10/07/2021 18:45:48

Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
235	Picture	black1_pain_false	6723637	19850	1	5171	1	19850	5000	other	0
236	Picture	latin1_pain_false	6744322	14610	1	5338	2	14610	5000	other	0
237	Picture	white1_pain_true	6767342	16610	1	5171	2	16610	5000	other	0
238	Picture	asian1_pain_false	6792196	18830	1	5171	1	18830	5000	other	0
239	Picture	latin1_pain_false	6818052	19760	1	5171	2	19760	5000	other	0
240	Picture	black1_pain_true	6836735	12560	1	5171	2	12560	5000	other	0
241	Picture	white1_pain_false	6860756	17990	1	5171	2	17990	5000	other	0
242	Picture	latin1_pain_false	6878438	11700	1	5171	2	11700	5000	other	0
243	Picture	black1_pain_true	6895452	10830	1	5338	2	10830	5000	other	0
244	Picture	white1_pain_true	6915303	13640	1	5171	2	13640	5000	other	0
245	Picture	white1_pain_true	6937822	16400	1	5171	2	16400	5000	other	0
246	Picture	white1_pain_false	6963011	19020	1	5505	2	19020	5000	other	0
247	Picture	white1_pain_true	6989200	19870	1	5171	2	19870	5000	other	0
248	Picture	white1_pain_false	7008884	13620	1	5171	1	13620	5000	other	0
249	Picture	white1_pain_false	7029902	14830	1	5171	2	14830	5000	other	0
250	Picture	white1_pain_false	7047917	11910	1	5171	2	11910	5000	other	0
251	Picture	black1_pain_false	7065933	11970	1	5171	1	11970	5000	other	0
252	Picture	asian1_pain_true	7089120	17080	1	5171	2	17080	5000	other	0
253	Picture	white1_pain_false	7108970	13770	1	5171	2	13770	5000	other	0
254	Picture	white1_pain_true	7132991	17890	1	5171	1	17890	5000	other	0
255	Picture	asian1_pain_false	7149672	10660	1	5171	2	10660	5000	other	0
256	Picture	white1_pain_true	7174193	18490	1	5171	2	18490	5000	other	0
257	Picture	asian1_pain_false	7197714	17300	1	5171	2	17300	5000	other	0
258	Picture	white1_pain_false	7214561	10500	1	5171	1	10500	5000	other	0
259	Picture	latin1_pain_false	7239083	18520	1	5171	2	18520	5000	other	0
260	Picture	white1_pain_false	7259600	14500	1	5171	2	14500	5000	other	0
261	Picture	black1_pain_false	7279784	14120	1	5171	2	14120	5000	other	0
262	Picture	latin1_pain_false	7297633	11730	1	5171	2	11730	5000	other	0
263	Picture	white1_pain_true	7317484	13840	1	5171	2	13840	5000	other	0
264	Picture	white1_pain_false	7340337	16700	1	5171	2	16700	5000	other	0

Visual picture detection failed over to using scan line information only at the following times:
type	time	timeout	presentation
fail	266780	83.415	982
restore	266899	0	983
fail	388268	83.415	1163
restore	390395	0	1164
fail	481749	83.415	1261
restore	481869	0	1262
fail	510757	83.415	1684
restore	510877	0	1685
fail	511708	83.415	1697
restore	511828	0	1698
